Playlist Name,Video Number and Title
Ask_Me,1. Dr. Foojan Zeine shares about Letting go of rage and revenge
Ask_Me,2. Ask Me - Dr. Foojan Zeine shares her perspective on how to release suffering.
Ask_Me,3. Ask me - Dr. Foojan Zeine shares her view about how to find one's passion
Ask_Me,4. Ask me - Dr. Foojan Zeine answers Am I a candidate for a committed relationship?
Ask_Me,5. Dr. Foojan Zeine shares with you how to let go of suffering
Ask_Me,6. Ask me Segment - Dr. Foojan Zeine talks about Bipolar Disorder
Ask_Me,7. Dr. Foojan Zeine Answers -  How can I handle holiday stress?
Ask_Me,8. Ask Me   - Dr. Foojan Zeine responds to your questions - How do I find my mate?
Ask_Me,9. Dr. Foojan Zeine shares about Transactional Relationships in the Ask me segment
Ask_Me,10. Ask me - Dr. Foojan Zeine  shares  How to go from automatic negative thoughts to positivity?
Ask_Me,11. Ask Me - Dr. Foojan Zeine answers -  How to calm down anxiety attacks?
Ask_Me,12. Ask Dr. Foojan -  A Family in Distress
Ask_Me,13. Dr. Foojan Zeine talks about using sarcasm in communication
Ask_Me,14. Ask me - Dr. Foojan Zeine shares how to be proud of you versus afraid of other people's opinion
Ask_Me,15. Ask Me - Dr. Foojan Zeine answers  How do we go from love to separateness and back?
Ask_Me,16. Ask Me - Dr. Foojan Zeine answers -  How do we go from love to separateness and back?
Ask_Me,17. Ask me - Dr. Foojan Zeine answers How can I be loving and Mean it?
Ask_Me,18. Ask me segment  - Dr. Foojan Zeine - Quitting a bad habit
Ask_Me,19. Ask me segment - Dr. Foojan Zeine answers your questions - How do I trust my intuition?
Ask_Me,20. Ask Me  - Dr. Foojan Zeine answers your questions How to go from Anger to Calm and joy?
Ask_Me,21. Ask Me  -  Dr. Foojan Zeine answers your questions - Am I afraid of Success?
Ask_Me,22. Ask Me  - Dr. Foojan Zeine answers the question of Why can't we forgive.
Ask_Me,23. Ask Me - Dr. Foojan Zeine shares about how to handle emotional numbness
Ask_Me,24. Ask Me segment - Dr. Foojan answers your question How do I get out of thinking negatively
Ask_Me,25. Ask Me - Dr Foojan Zeine answer to How do I handle my elder parents arguing.
Ask_Me,26. Ask Me - Dr. Foojan Zeine answers Why people make me angry?
Ask_Me,27. Ask Me - Dr. Foojan Zeine shares her perspective on Living purposefully after 60
Ask_Me,28. Ask me - Where does Will come from? Dr. Foojan Zeine explains
Ask_Me,29. Ask me  - Dealing with FEAR
Ask_Me,30. Ask me -  Dr. Foojan Zeine - How to let go of my Anxiety
Ask_Me,31. Ask me - Dr. Foojan Zeine - I love him but my family doesn't
Tip_of_the_day_-_English,1. Dr. Foojan Zeine talks about how to Reset & Co-create your life
Tip_of_the_day_-_English,2. Tip of the Day Dr. Foojan Zeine shares ways for you to Reward Yourself
Tip_of_the_day_-_English,3. Dr. Foojan Zeine shares about connecting or destroying a relationship with communication.
Tip_of_the_day_-_English,4. Dr. Foojan Zeine shares how to Reset & Co create Your Life
Tip_of_the_day_-_English,5. Dr. Foojan Zeine shares how you can change your mood.
Tip_of_the_day_-_English,6. Dr. Foojan Zeine shares about each of us being responsible for our own Happiness
Tip_of_the_day_-_English,7. Dr. Foojan Zeine discusses how you connect or destroy relationships with your communication
Tip_of_the_day_-_English,8. Tip of the Week - Dr. Foojan Zeine shares tips about what to do when you wake up agitated
Tip_of_the_day_-_English,9. Dr. Foojan Zeine talks about how to face the grief of a friend's death
Tip_of_the_day_-_English,10. Dr. Foojan Zeine shares about emotional eating
Tip_of_the_day_-_English,11. Tip of the Week -Dr. Foojan Zeine answers the question What do I do with my isolation and anxiety?
Tip_of_the_day_-_English,12. Dr. Foojan Zeine shares reasons we sabotage ourselves
Tip_of_the_day_-_English,13. Tip of the day - Dr. Foojan Zeine shares how to handle resistant people.
Tip_of_the_day_-_English,14. Tip of the day- Dr. Foojan Zeine shares about being defensive
Tip_of_the_day_-_English,15. Tip of the day - Dr. Foojan Zeine shares how we contribute to an argument in relationships.
Tip_of_the_day_-_English,16. Tip of the Week-Dr. Foojan Zeine shares transferring your skills to all areas of life
Tip_of_the_day_-_English,17. Tip of the Week - Dr. Foojan Zeine shares about Living Your Essence
Tip_of_the_day_-_English,18. Tip of the Week - Dr. Foojan Zeine shares views about Argument over Finances
Tip_of_the_day_-_English,19. Tip of the Week - Dr. Foojan Zeine shares What to do when you wake up agitated.
Tip_of_the_day_-_English,20. Tip of the Week - Dr. Foojan Zeine shares perspective on how Feedback is a gift for the receiver.
Tip_of_the_day_-_English,21. Tip of the Week - Dr. Foojan Zeine shares about Separation as a natural progression of life
Tip_of_the_day_-_English,22. Tip of the week- Dr. Foojan Zeine talks about Focus on What you can
Tip_of_the_day_-_English,23. Tip of the week - Being with Sad Circumstances by Dr. Foojan Zeine
Tip_of_the_day_-_English,24. Tip of the Week - Dr. Foojan Zeine shares the concept of Self Hatred
Tip_of_the_day_-_English,25. Tip of the Week - Dr. Foojan Zeine shares about the Price of Not paying attention.
Tip_of_the_day_-_English,26. Tip of the week - Dr. Foojan Zeine shares her view about Argumentative communication
Tip_of_the_day_-_English,27. Tip of the Week  - Dr. Foojan Zeine talks about Success & Guilt
Tip_of_the_day_-_English,28. Tip of the Week - Dr. Foojan Zeine shares her views about the ways dualities run your life
Tip_of_the_day_-_English,29. Tip of the week - Dr. Foojan Zeine shares her views on Raising Teens
Tip_of_the_day_-_English,"30. Tip of the Week - Dr. Foojan Zeine shares about your rights to your Feelings, not the Facts"
Tip_of_the_day_-_English,31. Tip of the Week  - Dr. Foojan Zeine shares her perspective about Lies & Secrets
Tip_of_the_day_-_English,32. Tip of the Week -Dr. Foojan Zeine shares her view about Lies and Secrets
Tip_of_the_day_-_English,33. Tip of the week - Dr. Foojan Zeine shares her perspective on Preserve Quality of life
Tip_of_the_day_-_English,34. Tip of the week - Dr. Foojan Zeine shares about personal Freedom
Tip_of_the_day_-_English,35. Tip of the Week - Dr. Foojan Zeine shares about Taking a Break
Tip_of_the_day_-_English,36. Tip of the Week - Dr. Foojan Zeine shares her view for Forgive yourself
Tip_of_the_day_-_English,37. Tip of the Week - Dr. Foojan Zeine Shares Who is Responsible for Violence in the society
Tip_of_the_day_-_English,38. Tip of the Week - Dr. Foojan Zeine shares her views on Displaced Anger
Tip_of_the_day_-_English,39. Tip of the Week - Dr. Foojan Zeine shares her view A life worth Living
Tip_of_the_day_-_English,40. Tip of the Week  - Dr. Foojan Zeine shares her thoughts about celebration of  Mother's Day
Tip_of_the_day_-_English,41. Tip of the Week - Dr. Foojan Zeine shares her view regarding Negotiation with the self
Tip_of_the_day_-_English,"42. Tip of the Week  - Dr. Foojan Zeine shares about anger management Stop, Articulate and share."
Tip_of_the_day_-_English,43. Tip of the Week  - Dr. Foojan Zeine shares her views on Dualities
Tip_of_the_day_-_English,44. Tip of the Week - Dr. Foojan Zeine shares about Getting Pleasantly Surprised
Tip_of_the_day_-_English,45. Tip of the Week - Dr. Foojan Zeine share her view on  Fear of Being Seen
Tip_of_the_day_-_English,46. Tip of the Week  - Dr. Foojan Zeine shares about - Live life being connected
Tip_of_the_day_-_English,47. Tip of the Week - Dr. Foojan Zeine shares her perspective on Spring clean your mind
Tip_of_the_day_-_English,48. Tip of the Week - Dr. Foojan Zeine share about communication -  Are you listening?
Tip_of_the_day_-_English,49. Tip of the Week - Dr. Foojan Zeine shares her thoughts about Change is inevitable
Tip_of_the_day_-_English,50. Tip of the Week - Dr. Foojan Zeine shares about Public Humiliation
Tip_of_the_day_-_English,51. Tip of the Week - Dr. Foojan Zeine shares about the notion of  Success  and Failure
Tip_of_the_day_-_English,52. Tip of the Week - Dr. Foojan Zeine talks about Heal from Depression
Tip_of_the_day_-_English,53. Tip of the Week   Dr. Foojan Zeine shares about Living Life with Love
Tip_of_the_day_-_English,54. Tip of the Week - Dr. Foojan Zeine shares her view on taking a deserving guilt free break
Tip_of_the_day_-_English,55. Tip of the Week - Dr. Foojan Zeine shares steps to Forgive Yourself
Tip_of_the_day_-_English,56. Tip of the Week - Dr. Foojan Zeine shares about Loving Your Body
Tip_of_the_day_-_English,57. Tip of the week - Dr. Foojan Zein shares about manifesting your vision for 2022
Tip_of_the_day_-_English,58. Tip of the Week  - Dr. Foojan Zeine shares how to handle and create Happy Holidays
Tip_of_the_day_-_English,59. Tip of the day  - Dr. Foojan Zeine shares the importance of Loving yourself
Tip_of_the_day_-_English,60. Tip of the Week - Dr. Foojan Zeine shares about letting the fear come and go
Tip_of_the_day_-_English,61. Tip of the week -  Dr. Foojan Zeine explores how you can share your power
Tip_of_the_day_-_English,62. Tip of the Week - Dr.  Foojan Zeine shares about Resisting Change
Tip_of_the_day_-_English,63. Dr. Foojan Zeine shares - Tip of the day -  Endings might be hard
Tip_of_the_day_-_English,64. Tip of the Week - Dr. Foojan Zeine shares how to be Caring for and ill loved one.
Tip_of_the_day_-_English,65. Dr. Foojan Zeine shares tips about being efficient in managing time and energy
Tip_of_the_day_-_English,66. Tip of the Week -  Dr. Foojan Zeine shares about ways to Unify your Dualities
Tip_of_the_day_-_English,67. Tip of the week - Dr. Foojan Zeine shares her insight about Don't give up on YOU
Tip_of_the_day_-_English,68. Tip of the week - Dr. Foojan Zeine shares about Giving Up
Tip_of_the_day_-_English,69. Tip of the Week - Dr. Foojan Zeine shares about Enough is Enough
Tip_of_the_day_-_English,70. Tip of the week  - Dr. Foojan Zeine shares her view about Love and loss
Tip_of_the_day_-_English,71. Tip of the Week  - Dr. Foojan Zeine shares her views on Notion of Love
Tip_of_the_day_-_English,72. Tip of the Week by Dr. Foojan Zeine - Regenerating Love
Tip_of_the_day_-_English,73. Tip of the Week - Dr Foojan Zeine shares her views about Being Fulfilled in Life
Tip_of_the_day_-_English,74. Tip of the Week by Dr. Foojan Zeine - Do what you've got to do and move on
Tip_of_the_day_-_English,75. Tip of the Week - Dr. Foojan Zeine shares tips about Letting Go of the significance of past events.
Tip_of_the_day_-_English,76. Tip of the Week - Dr. Foojan Zeine shares about Experiencing Newness
Tip_of_the_day_-_English,77. Tip of the Week - Dr. Foojan Zeine shares ways to fit activities into a very busy day
Tip_of_the_day_-_English,78. Tip of the Week - Dr. Foojan shares about forgiving someone for their past behavior
Tip_of_the_day_-_English,79. Tip of the Week - Dr. Foojan Zeine shares about Procrastination
Tip_of_the_day_-_English,80. Tip of the Week - Dr. Foojan Zeine shares her ideas about the process of duality in decision making.
Tip_of_the_day_-_English,81. Tip of the Week - Dr. Foojan Zeine shares her tip about being in a state of curiosity and wonder.
Tip_of_the_day_-_English,82. Tip of the Week - Dr. Foojan Zeine talks about  using your WORDS wisely
Tip_of_the_day_-_English,83. Tip of the Week - Dr. Foojan Zeine shares with you - How to mend your Heart
Tip_of_the_day_-_English,84. Tip of the week - Dr. Foojan Zeine shares her perspective - Let's support each other
Tip_of_the_day_-_English,85. Tip of the Week - Dr. Foojan Zeine shares about Cognitive & Emotional Health
Tip_of_the_day_-_English,86. Tip of the week - Declare the best of you
Tip_of_the_day_-_English,87. Tip of the Week - Live Joyously
Tip_of_the_day_-_English,88. Tip of the week by Dr. Foojan Zeine - Creating a blissful relationship with family & friends
Tip_of_the_day_-_English,89. Tip of the Week -  Be Enrolled and Enrolling - by Dr. Foojan Zeine
Tip_of_the_day_-_English,90. Tip of the week by Dr. Foojan Zeine - Anxiety to calmness
Tip_of_the_day_-_English,91. Tip of the day -  Cleansing with Meditation
Tip_of_the_day_-_English,92. Protecting your emotions with visual rose meditation
Tip_of_the_day_-_English,93. Sleep Peacefully
Tip_of_the_day_-_English,94. Calming your mind through your peripheral vision
Tip_of_the_day_-_English,"95. Activate your body, Change your mood"
Tip_of_the_day_-_English,96. Cleaning your body Meditation
Tip_of_the_day_-_English,97. Shifting Negative Thoughts
Tip_of_the_day_-_English,98. Let go and protect yourself
Tip_of_the_day_-_English,99. Tapping for Releasing Tension
Tip_of_the_day_-_English,100. Cleansing & Releasing Through Visual Meditation
Tip_of_the_day_-_English,101. Access Present Moment
Tip_of_the_day_-_English,102. Tip of the Day -  Emotional Release
Tip_of_the_day_-_English,103. Balancing Mind & Emotions - Interview of Dr  Foojan Zeine & Amanollah Ghahraman
Tip_of_the_day_-_English,104. Tip of the day - Feel & Release your Emotions
Tip_of_the_day_-_English,105. Tip of the day -  It is ok to be sad
Tip_of_the_day_-_English,106. Tip of the day   - How to take care of your elderly in times of the pandemic
Tip_of_the_day_-_English,107. Tip of the day - work from home and keep your sanity
Tip_of_the_day_-_English,108. Tip of the day -  Stop fighting with your mate
Tip_of_the_day_-_English,109. Tip of the Day  - Relating to your children
Tip_of_the_day_-_English,110. Tip of the Day  -  Play Project for Children - Part 10
Tip_of_the_day_-_English,111. Tip of the Day  -  Play Project for Children - Part 9
Tip_of_the_day_-_English,112. Tip of the Day - Play Project for young children - Part 8
Tip_of_the_day_-_English,113. Tip of the Day - Play Project for young children - Part 7
Tip_of_the_day_-_English,114. Tip of the Day - Play Project for young children - Part 6
Tip_of_the_day_-_English,115. Tip of the day -  Play Project for Young Children - Part 5
Tip_of_the_day_-_English,116. Tip of the day  - Trouble Sleeping?
Tip_of_the_day_-_English,117. Tip of the Day  - Play Project for young children 4
Tip_of_the_day_-_English,118. Tip of day - Play Project for young children - Part 3
Tip_of_the_day_-_English,119. Tip of day -  Play Project for young children - Part 2
Tip_of_the_day_-_English,120. Tip of the day - Play Project with Young Children - Part 1
Tip_of_the_day_-_English,121. Tip of the day  - Dr. Foojan Zeine gives a tip regarding connecting and being there for each other.
Tip_of_the_day_-_English,122. Tip of the day  - Feeling cooped up
Tip_of_the_day_-_English,123. Tip of the day   Clam down people around you who are panicking
Tip_of_the_day_-_English,124. Tip of day  -  How to be with your mate
Tip_of_the_day_-_English,125. Tip of the day - Are you bored at home?
Tip_of_the_day_-_English,126. Tip of the day - Calmness - English
Dr._Foojan_Zeine_appearance_in_Togetherness_media,1. The Evolving Mind - Dr. Foojan Zeine - Ask Me How do I Change my mood - May.11.23
Dr._Foojan_Zeine_appearance_in_Togetherness_media,2. The Evolving Mind - Dr. Foojan Zeine - Tip of the Week; Rights to Feelings not The facts! July.12.22
Dr._Foojan_Zeine_appearance_in_Togetherness_media,3. The Evolving Mind - Dr. Foojan Zeine - Tip of the Week ; Lies and Secrets_July.06.2022
Dr._Foojan_Zeine_appearance_in_Togetherness_media,4. The Evolving Mind - Dr. Foojan Zeine_ Who is Responsible for Violence in the society? - June.02.2022
Dr._Foojan_Zeine_appearance_in_Togetherness_media,5. The Evolving Mind - Dr. Foojan Zeine-Tip of the Week; Displaced Anger - May.25.22
Dr._Foojan_Zeine_appearance_in_Togetherness_media,6. The Evolving Mind - Dr. Foojan Zeine - Tip of the Week - A life worth Living!
Dr._Foojan_Zeine_appearance_in_Togetherness_media,7. The Evolving Mind - Dr. Foojan Zeine - Happy Valentine's Day - Feb.14.2022
Dr._Foojan_Zeine_appearance_in_Togetherness_media,8. The Evolving Mind - Dr. Foojan Zeine  & Dr. Jia Gottlieb - August.31.2021
Dr._Foojan_Zeine_appearance_in_Togetherness_media,9. Evolving Mind - Dr. Foojan Zeine - Tip of the week - Latest Research Jan.19.2022
Dr._Foojan_Zeine_appearance_in_Togetherness_media,10. The Evolving Mind - Dr. Foojan Zeine - Tip of the week - Love Your Body -Jan.11.2022
Dr._Foojan_Zeine_appearance_in_Togetherness_media,11. The Evolving Mind - Dr. Foojan Zeinel - Tip of the week & Ask me - Nov.13.2021
Dr._Foojan_Zeine_appearance_in_Togetherness_media,12. The Evolving Mind - Dr. Foojan Zeine - What do I do with my isolation and anxiety? Sep.22.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,13. The Evolving Mind - Dr. Foojan Zeine Tip of the week - Ask me   Sep.14.2021
Dr._Foojan_Zeine_appearance_in_Togetherness_media,14. The Evolving Mind - Dr. Foojan Zeine - July.22.2021
Dr._Foojan_Zeine_appearance_in_Togetherness_media,15. The Evolving Mind - Dr. Foojan Zeine _ Soulful Being & Listening  - July.31.2021
Dr._Foojan_Zeine_appearance_in_Togetherness_media,16. The Evolving Mind - Dr. Foojan Zeine & Rob Shallenberger   July.15.2021
Dr._Foojan_Zeine_appearance_in_Togetherness_media,17. This Evening with Dr. Foojan Zeine - Tip of the day  Are you defensive?!   July.16.2021
Dr._Foojan_Zeine_appearance_in_Togetherness_media,18. The Evolving Mind - Dr. Foojan Zeine 07.07.2021
Dr._Foojan_Zeine_appearance_in_Togetherness_media,19. The Evolving Mind - Dr. Foojan Zeine & Dr. Mark Mincolla   July.03.2021
Dr._Foojan_Zeine_appearance_in_Togetherness_media,20. THE EVOLVING MIND - Dr. Foojan Zeine  - Tip of the week; Resisting change   Jun.30.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,21. This Evening - Dr. Foojan Zeine  - How to go from automatic negative thoughts to  positivity
Dr._Foojan_Zeine_appearance_in_Togetherness_media,22. This Evening - Amir Lahijy & Dr. Foojan Zeine - International women's day 2021 -  03.04.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,23. This Evening with Dr. Foojan Zeine 03.12.21- Feeling Overwhelmed
Dr._Foojan_Zeine_appearance_in_Togetherness_media,24. This Evening with Dr. Foojan Zeine - Covid19 Vaccine &  our responsibility!
Dr._Foojan_Zeine_appearance_in_Togetherness_media,25. This Evening with Dr. Foojan Zeine  April.23.2021
Dr._Foojan_Zeine_appearance_in_Togetherness_media,26. This Evening - Melissa With Dr. Foojan Zeine  April.30.2021
Dr._Foojan_Zeine_appearance_in_Togetherness_media,27. The Evolving Mind - Dr. Foojan Zeine - Love & Loss - May.10.2021
Dr._Foojan_Zeine_appearance_in_Togetherness_media,28. The Evolving Mind - Dr. Foojan Zeine & Kristi Hugstad - May.15.2021
Dr._Foojan_Zeine_appearance_in_Togetherness_media,29. The Evolving Mind - Dr. Foojan Zeine 05.17.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,30. The Evolving Mind - Dr. Foojan Zeine - Be blessed with all the little things in life _ June.04.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,31. THE EVOLVING MIND - Dr. Foojan Zeine - June.08.2021
Dr._Foojan_Zeine_appearance_in_Togetherness_media,32. EVOLVING MIND - Dr. Foojan Zeine 06.14.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,33. THE EVOLVING MIND - Dr. Foojan Zeine & Kate Eckman - June.05.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,34. This Evening with Dr. Foojan Zeine - Why is it hard to Change 04.16.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,35. The Evolving Mind - Dr. Foojan Zeine and Julian Reeve 03.22.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,36. The Evolving Mind - Dr. Foojan Zeine & Dr. Mohammad Nami - March.15.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,37. The Evolving Mind - Dr. Foojan Zeine - 03.16.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,38. The Evolving Mind - Dr. Foojan Zeine _ 03.22.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,39. The Evolving Mind - Dr  Foojan Zeine   Tip of the week   Ask me!
Dr._Foojan_Zeine_appearance_in_Togetherness_media,40. This Evening - Dr. Foojan Zeine Discuss Time Management 04.03.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,41. This Evening with Dr. Foojan Zeine -What to do when you are tired?! - 03.26.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,42. The Evolving Mind - Dr. Foojan Zeine & Dr. Ed Adams 12.31.20
Dr._Foojan_Zeine_appearance_in_Togetherness_media,43. THE EVOLVING MIND   Dr  Foojan Zeine & Peter Ruppert - 01.06.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,44. THE EVOLVING MIND - Dr. Foojan Zeine & Dr. Robert Johansen 01.11.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,45. THE EVOLVING MIND - Dr. Foojan Zeine & Lawrence Doochin _ 01.19.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,46. THE EVOLVING MIND -Dr  Foojan Zeine & Dr  Stephen Gilligan - February.04.2021
Dr._Foojan_Zeine_appearance_in_Togetherness_media,47. The Evolving Mind   Dr  Foojan Zeine & Dr  William Ferrailo 12.16.20
Dr._Foojan_Zeine_appearance_in_Togetherness_media,48. The Evolving Mind - Dr. Foojan Zeine _ 02.05.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,49. The Evolving Mind - Dr. Foojan Zeine & Amoda Maa - Feb.05.2021
Dr._Foojan_Zeine_appearance_in_Togetherness_media,50. 02 05 21  This Evening   Anthony Power & Dr  Foojan Zeine   Power of words it can break or build!
Dr._Foojan_Zeine_appearance_in_Togetherness_media,51. The Evolving Mind - Dr. Foojan Zeine &  Dr. Phillip Zimbardo _ 02.05.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,52. This Evening - Anthony Powers & Dr. Foojan Zeine discuss Love languages
Dr._Foojan_Zeine_appearance_in_Togetherness_media,53. THE EVOLVING MIND - Dr. Foojan Zeine _ 01.29.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,54. This Evening - Anthony Powers & Dr. Foojan Zeine - 01.29.21
Dr._Foojan_Zeine_appearance_in_Togetherness_media,55. This Evening   Anthony Powers with Dr  Foojan Zeine discuss singles during the holiday season 11.20
Dr._Foojan_Zeine_appearance_in_Togetherness_media,56. THIS EVENING - Anthony Powers & Dr. Foojan Zeine 10-30-20
Dr._Foojan_Zeine_appearance_in_Togetherness_media,57. This Evening - Anthony Powers & Dr. Foojan Zeine talking about What stops you from growth? 10.09.20
Dr._Foojan_Zeine_appearance_in_Togetherness_media,58. The Evolving Mind - Dr. Foojan Zeine - Dr. Jeffrey Zeig - Maggie Craddock - 10.05.20
Dr._Foojan_Zeine_appearance_in_Togetherness_media,59. This Evening discuss future and fear with Dr  Foojan Zeine 10.02.20
Dr._Foojan_Zeine_appearance_in_Togetherness_media,60. This Evening discuss about Live in Integrity with Dr  Foojan Zeine 09.25.20
Dr._Foojan_Zeine_appearance_in_Togetherness_media,61. This Evening  - Talking about move on from Ex  with Dr. Foojan Zeine
Dr._Foojan_Zeine_appearance_in_Togetherness_media,62. This Evening - Let's talk about Superstitious with Dr. Foojan Zeine
Dr._Foojan_Zeine_appearance_in_Togetherness_media,63. This Evening -  Amir Lahijy and Mersedeh Hatami with Dr. Foojan Zeine_09.04.20
Dr._Foojan_Zeine_appearance_in_Togetherness_media,64. THIS EVENING_Amir Lahijy discuss about vulnerability with Dr. Foojan Zeine 08.07.20
Dr._Foojan_Zeine_appearance_in_Togetherness_media,65. This Evening with Dr. Foojan Zeine _ Relationship
Dr._Foojan_Zeine_appearance_in_Togetherness_media,66. This Evening talking with Dr. Foojan Zeine about foundation of relationship_08.21.20
Dr._Foojan_Zeine_appearance_in_Togetherness_media,67. This Evening! Let's discuss about Sex & Intimacy with Dr. Foojan Zeine _07.31.20
Dr._Foojan_Zeine_appearance_in_Togetherness_media,68. This Evening_ 07.10.20_ The cycle of anger in relationship!
Dr._Foojan_Zeine_appearance_in_Togetherness_media,69. This Evening_06.03.20_Talking to Dr. Foojan Zeine about Rage!
Dr._Foojan_Zeine_appearance_in_Togetherness_media,"70. THIS EVENING_05.22.20_Amir Lahijy _ Dr. Foojan Zein PSY.D, LMFT"
Dr._Foojan_Zeine_appearance_in_Togetherness_media,71. This Evening_05.19.20_Commitment in Relationships
Dr._Foojan_Zeine_appearance_in_Togetherness_media,72. This Evening _ 05.09.20_Amir Lahijy_Amira Barkat_Dr. Foojan Zeine
Dr._Foojan_Zeine_appearance_in_Togetherness_media,73. This Evening_About Shame_Amir Lahijy_Nikki_Dr. Foojan Zeine_05.07.20
Dr._Foojan_Zeine_appearance_in_Togetherness_media,74. THIS EVENING_05.29.20_Let's talk about #Violence
